,lotSizeSqFt,livingAreaSqFt,avgSchoolDistance,avgSchoolRating,avgSchoolSize,MedianStudentsPerTeacher,Bathrooms,Bedrooms,price,zip,Stories,BuiltAfter2k,HasPatioPorch,zpid
149,8363.0,2623.0,0.8666666666666667,7.0,1381,16,3.0,4,515000.0,78726,1,1,1,2079153478
150,27442.8,1947.0,3.4,7.0,1277,16,2.0,2,625000.0,78732,2,0,1,29366849
151,9757.0,2192.0,1.9,8.333333333333334,1481,16,2.0,3,339900.0,78717,1,1,0,185217434
152,8319.0,3352.0,0.7000000000000001,7.666666666666668,1281,14,3.0,5,650000.0,78750,2,1,1,58265966
153,10541.0,1268.0,2.2333333333333334,2.6666666666666665,1478,13,2.0,3,170000.0,78724,1,1,0,63835398
154,20908.8,4867.0,2.5,8.333333333333334,1533,17,4.0,4,759900.0,78732,2,1,0,70352461
155,6490.0,1306.0,3.233333333333333,3.6666666666666665,1085,11,2.0,3,214500.0,78724,1,0,0,29396970
156,6272.0,2398.0,1.0,3.0,1108,14,3.0,4,275000.0,78753,2,0,0,29438718
157,8276.0,4274.0,2.1,7.0,1277,16,4.0,4,588000.0,78726,2,1,0,29370839
158,2613.0,1372.0,2.266666666666667,3.0,1457,13,3.0,3,174900.0,78725,1,1,0,2132333345
159,36590.4,3695.0,1.7666666666666666,8.666666666666666,1632,16,4.0,4,937000.0,78726,2,0,1,29376465
160,9796.0,2448.0,2.8000000000000003,7.0,1523,17,2.0,4,595000.0,78750,2,0,0,29358978
161,5314.0,1250.0,2.266666666666667,3.0,1457,13,3.0,2,169900.0,78725,2,1,0,121658390
162,7797.0,3485.0,2.766666666666667,8.333333333333334,1533,17,4.0,5,625000.0,78732,2,1,1,89028960
163,9147.0,1526.0,2.966666666666667,3.6666666666666665,1085,11,2.0,3,235000.0,78724,1,1,0,80093467
164,6185.0,2124.0,3.2,3.6666666666666665,1532,12,2.0,3,359900.0,78744,1,1,0,250180857
165,7927.0,2965.0,1.6333333333333335,8.666666666666666,1632,16,3.0,4,350000.0,78750,2,0,0,29372965
166,7666.0,3205.0,1.9,8.333333333333334,1481,16,4.0,5,449000.0,78717,2,1,1,185217429
167,81021.6,5449.0,2.5333333333333337,8.333333333333334,1533,17,5.0,5,1799000.0,78732,2,1,0,89551997
168,53143.2,5099.0,1.9333333333333336,7.0,1381,16,5.0,5,1499000.0,78730,2,0,0,29353978
169,5837.0,2403.0,2.966666666666667,3.6666666666666665,1085,11,3.0,3,425900.0,78724,1,1,0,2089686965
170,13068.0,3939.0,2.0,7.0,1277,16,4.0,5,595000.0,78726,2,1,1,29370836
171,16117.2,2116.0,0.8666666666666667,8.666666666666666,1632,16,3.0,3,625000.0,78750,1,0,1,29375964
172,10585.0,3409.0,3.266666666666667,7.666666666666668,1259,14,3.0,4,729000.0,78717,1,1,1,116080928
173,43560.0,3848.0,2.0,7.0,1381,16,4.0,5,993000.0,78730,2,0,0,29353976
174,5183.0,1786.0,1.6666666666666667,3.0,1457,13,2.0,4,199000.0,78725,1,0,0,29459882
175,6969.0,2289.0,3.0666666666666664,3.6666666666666665,1532,12,3.0,3,365990.0,78744,1,1,0,2087922352
176,16988.4,596.0,3.3000000000000003,7.0,1277,16,1.0,2,240000.0,78732,1,0,0,29366834
177,14810.4,1554.0,2.8000000000000003,3.0,1457,13,2.0,4,220000.0,78725,1,0,1,29465145
178,5662.0,1704.0,3.1666666666666665,3.6666666666666665,1085,11,2.0,3,265000.0,78724,1,1,1,80090962
179,7013.0,2852.0,1.4333333333333336,8.0,1275,15,3.0,3,445000.0,78726,2,0,1,29374964
180,6098.0,2505.0,1.4,2.6666666666666665,1063,14,2.5,4,315000.0,78660,2,1,0,120896203
181,4486.0,2088.0,1.8333333333333333,3.0,1457,13,3.0,4,95000.0,78725,2,1,0,70341343
182,9234.0,1206.0,2.2666666666666666,2.6666666666666665,1478,13,2.0,3,179900.0,78724,1,1,0,70338381
183,13939.2,3119.0,3.1,7.0,1523,17,3.0,4,735000.0,78750,2,0,0,29362475
184,8145.0,2191.0,1.9,8.333333333333334,1481,16,2.0,3,429900.0,78717,1,1,1,185217426
185,172497.6,9866.0,3.4333333333333336,8.333333333333334,1533,17,10.0,6,4100000.0,78732,2,1,0,124843021
186,5793.0,1160.0,3.2,3.6666666666666665,1085,11,2.0,3,66900.0,78724,1,1,0,64533962
187,6926.0,2420.0,3.1666666666666665,3.6666666666666665,1532,12,3.0,4,385000.0,78744,2,1,0,249710345
188,4312.0,1278.0,1.8333333333333333,3.0,1457,13,2.0,3,169000.0,78725,1,1,0,63837841
189,5357.0,2094.0,1.7000000000000002,3.0,1457,13,3.0,4,195000.0,78725,2,0,0,29459881
190,33976.8,5027.0,2.0333333333333337,7.0,1277,16,5.0,4,1225000.0,78726,2,1,1,83814445
191,4748.0,1096.0,3.233333333333333,3.0,1457,13,2.0,3,194900.0,78725,1,1,0,89552136
192,5662.0,2425.0,3.1333333333333333,7.666666666666668,1259,14,3.0,3,459990.0,78717,1,1,1,124154926
193,4617.0,1320.0,3.1666666666666665,3.6666666666666665,1085,11,2.0,3,229900.0,78724,1,0,0,29396959
194,5998.0,1780.0,1.2333333333333332,3.0,1108,14,2.0,4,289000.0,78660,1,1,1,2087686692
195,116305.2,7740.0,2.766666666666667,8.333333333333334,1476,17,8.0,6,5474997.0,78732,2,1,1,89545951
196,45302.4,4878.0,2.0,7.0,1381,16,5.0,5,1150000.0,78730,2,0,0,29353975
197,27007.2,2873.0,1.0,8.666666666666666,1632,16,3.0,4,609900.0,78750,2,0,0,29373963
198,7535.0,1652.0,1.9666666666666668,3.0,1457,13,2.0,3,230000.0,78725,1,1,0,79981880
199,7405.0,2501.0,3.4333333333333336,3.6666666666666665,1532,12,3.0,4,439000.0,78744,1,1,1,251035839
200,5837.0,2406.0,2.4,6.0,1228,14,2.0,3,375000.0,78729,1,1,0,96636926
201,4617.0,1306.0,3.1666666666666665,3.6666666666666665,1085,11,2.0,3,225000.0,78724,1,0,1,29396958
202,12196.8,4362.0,2.1666666666666665,8.666666666666666,1533,17,4.0,4,769000.0,78732,2,1,0,83820449
203,11325.6,1540.0,2.033333333333333,7.0,1277,16,2.0,3,342000.0,78726,1,0,1,29370826
204,30927.6,2463.0,2.5,7.0,1523,17,3.0,3,715000.0,78750,2,0,0,29360969
205,13503.6,2454.0,0.8666666666666667,8.666666666666666,1632,16,3.0,3,550000.0,78750,1,0,1,29375962
206,10890.0,1968.0,2.1,8.333333333333334,1481,16,2.0,3,360000.0,78717,1,1,0,243333921
207,5488.0,1821.0,2.8666666666666667,3.6666666666666665,1532,12,2.0,3,284900.0,78744,1,1,0,145657839
208,13068.0,1848.0,3.733333333333333,8.333333333333334,1533,17,2.0,2,279900.0,78732,1,0,0,29343949
209,8712.0,2218.0,2.0,7.0,1277,16,2.0,3,413900.0,78726,1,0,1,29370822
210,27007.2,3371.0,5.133333333333333,7.0,1177,16,4.0,4,995000.0,78730,1,1,0,69814957
211,4181.0,1555.0,3.4,7.0,1177,16,2.0,3,415000.0,78731,1,0,1,29351469
212,11761.2,2647.0,3.766666666666667,8.0,1373,14,3.0,4,585000.0,78733,2,0,0,29344952
213,14810.4,2373.0,1.1333333333333333,8.666666666666666,1632,16,3.0,4,750000.0,78750,1,0,1,29374462
214,4399.0,1914.0,2.933333333333333,3.6666666666666665,1532,12,3.0,3,279000.0,78744,2,1,0,145658835
215,4356.0,2088.0,1.8666666666666665,3.0,1457,13,3.0,4,210000.0,78725,2,1,0,70341334
216,7840.0,1861.0,1.9666666666666668,7.0,1277,16,2.0,3,369000.0,78726,1,0,1,29370820
217,9757.0,1567.0,2.5,3.6666666666666665,480,14,2.0,4,329900.0,78725,1,0,0,29392931
218,13503.6,4214.0,2.05,9.0,1669,15,4.0,4,869450.0,78746,2,0,0,29343457
219,7927.0,1344.0,1.9333333333333331,3.0,1457,13,2.0,3,205000.0,78725,1,1,0,79981874
220,12196.8,2410.0,3.733333333333333,8.0,1373,14,3.0,4,789000.0,78733,1,0,0,29344951
221,50529.6,3227.0,1.4,8.666666666666666,1632,16,4.0,5,649000.0,78726,1,0,0,29377461
222,13068.0,704.0,3.8,8.333333333333334,1533,17,1.0,1,150000.0,78732,1,0,0,29343946
223,11761.2,3329.0,3.1,7.666666666666668,1259,14,5.0,4,599000.0,78717,2,1,0,124154920
224,6011.0,2068.0,2.9,3.6666666666666665,1532,12,3.0,4,299999.0,78744,2,1,0,145658832
225,11761.2,3304.0,1.9,7.0,1277,16,4.0,4,499800.0,78726,2,1,0,29370806
226,5749.0,1670.0,2.9,3.6666666666666665,1085,11,2.0,3,238999.0,78724,1,1,0,83816428
227,14374.8,2665.0,2.05,9.0,1669,15,3.0,3,915000.0,78746,1,0,1,29343454
228,13939.2,4021.0,4.9,5.666666666666668,1332,16,4.0,4,699000.0,78735,2,1,1,29334450
229,8842.0,3559.0,1.4666666666666668,8.0,1275,15,4.0,4,598000.0,78726,2,1,0,64901960
230,20908.8,2357.0,2.566666666666667,7.0,1523,17,2.5,3,465000.0,78750,1,0,0,29360963
231,5445.0,1982.0,2.9333333333333336,3.6666666666666665,1532,12,3.0,3,305000.0,78744,2,1,0,145658831
232,7026.0,2047.0,1.7,3.0,1457,13,2.0,4,254000.0,78725,1,1,1,145657822
233,54450.0,5307.0,4.733333333333333,7.0,1177,16,5.0,4,1299000.0,78730,3,1,1,64918941
234,9757.0,3976.0,2.0,7.0,1277,16,4.0,5,579000.0,78726,2,1,1,29370800
235,32670.0,2100.0,4.033333333333333,3.0,1457,13,3.0,4,289900.0,78617,1,1,1,246905609
236,8232.0,1943.0,2.8000000000000003,8.333333333333334,1533,17,2.0,4,379000.0,78732,1,1,0,90240442
237,9626.0,3689.0,2.6333333333333333,8.333333333333334,1533,17,4.0,4,649900.0,78732,2,1,0,120895447
238,13068.0,3650.0,0.9333333333333332,8.666666666666666,1632,16,4.0,4,525000.0,78750,2,0,0,29375958
239,9931.0,2498.0,2.733333333333333,7.0,1523,17,3.0,4,359000.0,78750,2,0,1,29358963
240,30056.4,4771.0,2.1,9.0,1669,15,4.0,5,1995000.0,78746,3,0,1,29341440
241,12196.8,2929.0,3.8666666666666667,8.0,1373,14,3.0,4,714900.0,78733,2,0,1,29344947
242,8276.0,3348.0,2.766666666666667,8.333333333333334,1533,17,4.0,5,474997.0,78732,2,1,0,90240441
243,5662.0,1746.0,2.1,8.333333333333334,1481,16,2.0,3,335000.0,78717,1,1,0,89553418
244,5532.0,1589.0,1.6000000000000003,3.0,1457,13,2.0,4,199950.0,78725,1,0,1,144334371
